Justificativas de conexões no grafo (baseadas em palavras-chave YAKE):

Conexão entre 8 e 73 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 81 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 85 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 95 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 97 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 107 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 113 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 118 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 130 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 139 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 142 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 144 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 148 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 151 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 153 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 154 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 158 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 161 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 168 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 170 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 173 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 179 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 186 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 193 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 196 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 205 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 229 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 234 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 235 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 239 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 249 - Palavras-chave em comum: presidente Jair Bolsonaro
